genome.genome_id	genome.genome_name	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence
1094167.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH7		AMR Panel
1094168.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH8		
1094169.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH9		AMR Panel
1094170.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH10		AMR Panel
1094170.7	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	Susceptible	Computational Prediction
1094170.8	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	Susceptible::Resistant	Computational Prediction
1094170.9	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	Susceptible::Resistant	Computational Prediction
1094171.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH11		AMR Panel
1087440.10	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Susceptible::Resistant	Computational Prediction
1087440.11	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Susceptible::Resistant	Computational Prediction
1087440.12	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Susceptible	Computational Prediction
1087440.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH1		AMR Panel
1087441.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH2		AMR Panel
1087443.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH4		AMR Panel
1087444.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH5		AMR Panel
1087445.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH6		
1087446.3	Klebsiella pneumoniae FCF1305	Susceptible	Computational Prediction
1087447.3	Klebsiella pneumoniae FCF3SP	Susceptible	Computational Prediction
1074486.3	Klebsiella pneumoniae 1191100241		
1037890.3	Klebsiella pneumoniae JH1		
1037908.3	Klebsiella pneumoniae 1162281		
1049565.29	Klebsiella pneumoniae KCTC 2242	Susceptible	Computational Prediction
1049565.4	Klebsiella pneumoniae KCTC 2242		
2044482.3	Citrobacter sp. 43UCKPC_BLUE2PLATE		
2044485.3	Citrobacter sp. 43UCKPC_BLUE4LB		
1352932.3	Klebsiella pneumoniae LCT-KP182		
1352933.3	Klebsiella pneumoniae LCT-KP289		
1389422.3	Escherichia coli LAU-EC1		
1392499.4	Klebsiella pneumoniae subsp. pneumoniae 1158		
1392500.3	Klebsiella pneumoniae HK787		
1395574.3	Klebsiella pneumoniae subsp. pneumoniae KpQ24		
1395575.3	Klebsiella pneumoniae subsp. pneumoniae KpQ15		
1193292.6	Klebsiella pneumoniae subsp. pneumoniae 1084		
1199150.3	Klebsiella pneumoniae subsp. pneumoniae KP5-1		
1199150.7	Klebsiella pneumoniae subsp. pneumoniae KP5-1 strain Kp5-1	Susceptible	Computational Prediction
1203544.3	Klebsiella pneumoniae subsp. pneumoniae WGLW1		
1203545.3	Klebsiella pneumoniae subsp. pneumoniae WGLW2		
1203546.5	Klebsiella pneumoniae subsp. pneumoniae WGLW3		
1203547.3	Klebsiella pneumoniae subsp. pneumoniae WGLW5		
1212766.3	Klebsiella pneumoniae subsp. pneumoniae ST258-490		
1218098.3	Klebsiella pneumoniae subsp. ozaenae NBRC 105683		
1218099.3	Klebsiella pneumoniae subsp. pneumoniae NBRC 14940		
1168062.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH21		
1168063.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH22		
1168064.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH23		AMR Panel
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104		
1162297.3	Klebsiella pneumoniae subsp. pneumoniae LCT-KP214		
1177153.3	Klebsiella pneumoniae subsp. pneumoniae LZ		
1185418.3	Klebsiella pneumoniae subsp. pneumoniae ST512-K30BO		
1185419.3	Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO		
1185420.3	Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO		
1228988.4	Klebsiella pneumoniae subsp. pneumoniae KpMDU1		
1225181.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH24		
1225181.6	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Susceptible	Computational Prediction
1225181.7	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Susceptible	Computational Prediction
1225181.8	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Susceptible	Computational Prediction
1226115.3	Klebsiella pneumoniae subsp. pneumoniae KpQ3		
1226680.3	Klebsiella pneumoniae subsp. pneumoniae Ecl8		
1226680.5	Klebsiella pneumoniae subsp. pneumoniae Ecl8	Susceptible::Resistant	Computational Method
1263871.10	Klebsiella pneumoniae ATCC BAA-2146		
1263871.3	Klebsiella pneumoniae ATCC BAA-2146		
1232392.6	Klebsiella pneumoniae subsp. pneumoniae KpO3210		
1236101.6	Klebsiella pneumoniae JHCK1		
1236102.6	Klebsiella pneumoniae VA360		
1236531.3	Klebsiella pneumoniae subsp. pneumoniae JCM 1662		
1244085.20	Klebsiella pneumoniae CG43	Susceptible	Computational Prediction
1244085.3	Klebsiella pneumoniae CG43		
1250520.3	Klebsiella pneumoniae RYC492		
1250520.6	Klebsiella pneumoniae RYC492	Susceptible::Resistant	Computational Method
1300166.3	Klebsiella pneumoniae subsp. pneumoniae JCM 20051		
1304916.4	Klebsiella pneumoniae 140_1040	Resistant::Susceptible	AMR Panel
1304917.4	Klebsiella pneumoniae 160_1080	Resistant::Susceptible	AMR Panel
1304918.4	Klebsiella pneumoniae 120_1020	Resistant::Susceptible	AMR Panel
1304919.4	Klebsiella pneumoniae 280_1220	Resistant::Susceptible	AMR Panel
1304920.3	Klebsiella pneumoniae 361_1301	Resistant::Susceptible	AMR Panel
1304921.4	Klebsiella pneumoniae 440_1540	Resistant::Susceptible	AMR Panel
1304922.3	Klebsiella pneumoniae 500_1420	Resistant::Susceptible	AMR Panel
1304922.6	Klebsiella pneumoniae 500_1420	Susceptible::Resistant	Computational Prediction
