genome.genome_id	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.resistant_phenotype
1094167.3	1094167.3	amoxicillin/clavulanic acid	
1094167.3	1094167.3	amikacin	
1094167.3	1094167.3	ampicillin	
1094167.3	1094167.3	aztreonam	
1094167.3	1094167.3	ceftazidime	
1094167.3	1094167.3	cefazolin	
1094167.3	1094167.3	chloramphenicol	
1094167.3	1094167.3	ciprofloxacin	
1094167.3	1094167.3	ceftriaxone	
1094167.3	1094167.3	colistin	
1094167.3	1094167.3	cefotaxime	
1094167.3	1094167.3	cefotaxime/clavulanic acid	
1094167.3	1094167.3	cefuroxime	
1094167.3	1094167.3	doripenem	
1094167.3	1094167.3	ertapenem	
1094167.3	1094167.3	cefepime	
1094167.3	1094167.3	fosfomycin	
1094167.3	1094167.3	cefoxitin	
1094167.3	1094167.3	gentamicin	
1094167.3	1094167.3	imipenem	
1094167.3	1094167.3	levofloxacin	
1094167.3	1094167.3	meropenem	
1094167.3	1094167.3	minocycline	
1094167.3	1094167.3	nitrofurantoin	
1094167.3	1094167.3	ampicillin/sulbactam	
1094167.3	1094167.3	tetracycline	
1094167.3	1094167.3	tigecycline	
1094167.3	1094167.3	tobramycin	
1094167.3	1094167.3	piperacillin/tazobactam	
1094167.3	1094167.3	cefotaxime	
1094167.3	1094167.3	levofloxacin	
1094167.3	1094167.3	meropenem	
1094167.3	1094167.3	tetracycline	
1094167.3	1094167.3	rifampin	
1094167.3	1094167.3	piperacillin/tazobactam	
1094167.3	1094167.3	tigecycline	
1094167.3	1094167.3	gentamicin	
1094167.3	1094167.3	ciprofloxacin	
1094167.3	1094167.3	cefepime	
1094167.3	1094167.3	aztreonam	
1094167.3	1094167.3	tobramycin	
1094167.3	1094167.3	ceftriaxone	
1094167.3	1094167.3	cefoxitin	
1094167.3	1094167.3	trimethoprim/sulfamethoxazole	
1094167.3	1094167.3	cefazolin	
1094167.3	1094167.3	ampicillin	
1094167.3	1094167.3	amoxicillin/clavulanic acid	
1094167.3	1094167.3	ertapenem	
1094167.3	1094167.3	amikacin	
1094167.3	1094167.3	imipenem	
1094167.3	1094167.3	colistin	
1094167.3	1094167.3	ceftazidime	
1094167.3	1094167.3	polymyxin B	
1094167.3	1094167.3	trimethoprim/sulfamethoxazole	
1094168.3	1094168.3	amoxicillin/clavulanic acid	
1094168.3	1094168.3	amikacin	
1094168.3	1094168.3	ampicillin	
1094168.3	1094168.3	aztreonam	
1094168.3	1094168.3	ceftazidime	
1094168.3	1094168.3	cefazolin	
1094168.3	1094168.3	chloramphenicol	
1094168.3	1094168.3	ciprofloxacin	
1094168.3	1094168.3	ceftriaxone	
1094168.3	1094168.3	colistin	
1094168.3	1094168.3	cefotaxime	
1094168.3	1094168.3	cefotaxime/clavulanic acid	
1094168.3	1094168.3	cefuroxime	
1094168.3	1094168.3	doripenem	
1094168.3	1094168.3	ertapenem	
1094168.3	1094168.3	cefepime	
1094168.3	1094168.3	fosfomycin	
1094168.3	1094168.3	cefoxitin	
1094168.3	1094168.3	gentamicin	
1094168.3	1094168.3	imipenem	
1094168.3	1094168.3	levofloxacin	
1094168.3	1094168.3	meropenem	
1094168.3	1094168.3	minocycline	
1094168.3	1094168.3	nitrofurantoin	
1094168.3	1094168.3	ampicillin/sulbactam	
1094168.3	1094168.3	tetracycline	
1094168.3	1094168.3	tigecycline	
1094168.3	1094168.3	tobramycin	
1094168.3	1094168.3	piperacillin/tazobactam	
1094168.3	1094168.3	polymyxin B	
1094168.3	1094168.3	trimethoprim/sulfamethoxazole	
1094169.3	1094169.3	amoxicillin/clavulanic acid	
1094169.3	1094169.3	amikacin	
1094169.3	1094169.3	ampicillin	
1094169.3	1094169.3	aztreonam	
1094169.3	1094169.3	ceftazidime	
1094169.3	1094169.3	cefazolin	
1094169.3	1094169.3	chloramphenicol	
1094169.3	1094169.3	ciprofloxacin	
1094169.3	1094169.3	ceftriaxone	
1094169.3	1094169.3	colistin	
1094169.3	1094169.3	cefotaxime	
1094169.3	1094169.3	cefotaxime/clavulanic acid	
1094169.3	1094169.3	cefuroxime	
1094169.3	1094169.3	doripenem	
1094169.3	1094169.3	ertapenem	
1094169.3	1094169.3	cefepime	
1094169.3	1094169.3	fosfomycin	
1094169.3	1094169.3	cefoxitin	
1094169.3	1094169.3	gentamicin	
1094169.3	1094169.3	imipenem	
1094169.3	1094169.3	levofloxacin	
1094169.3	1094169.3	meropenem	
1094169.3	1094169.3	minocycline	
1094169.3	1094169.3	nitrofurantoin	
1094169.3	1094169.3	ampicillin/sulbactam	
1094169.3	1094169.3	tetracycline	
1094169.3	1094169.3	tigecycline	
1094169.3	1094169.3	tobramycin	
1094169.3	1094169.3	piperacillin/tazobactam	
1094169.3	1094169.3	piperacillin/tazobactam	
1094169.3	1094169.3	gentamicin	
1094169.3	1094169.3	trimethoprim/sulfamethoxazole	
1094169.3	1094169.3	cefoxitin	
1094169.3	1094169.3	amikacin	
1094169.3	1094169.3	ceftriaxone	
1094169.3	1094169.3	levofloxacin	
1094169.3	1094169.3	tigecycline	
1094169.3	1094169.3	imipenem	
1094169.3	1094169.3	ampicillin	
1094169.3	1094169.3	ciprofloxacin	
1094169.3	1094169.3	cefepime	
1094169.3	1094169.3	meropenem	
1094169.3	1094169.3	ertapenem	
1094169.3	1094169.3	cefazolin	
1094169.3	1094169.3	aztreonam	
1094169.3	1094169.3	rifampin	
1094169.3	1094169.3	amoxicillin/clavulanic acid	
1094169.3	1094169.3	tobramycin	
1094169.3	1094169.3	ceftazidime	
1094169.3	1094169.3	cefotaxime	
1094169.3	1094169.3	polymyxin B	
1094169.3	1094169.3	trimethoprim/sulfamethoxazole	
1094170.3	1094170.3	amoxicillin/clavulanic acid	
1094170.3	1094170.3	amikacin	
1094170.3	1094170.3	ampicillin	
1094170.3	1094170.3	aztreonam	
1094170.3	1094170.3	ceftazidime	
1094170.3	1094170.3	cefazolin	
1094170.3	1094170.3	chloramphenicol	
1094170.3	1094170.3	ciprofloxacin	
1094170.3	1094170.3	ceftriaxone	
1094170.3	1094170.3	colistin	
1094170.3	1094170.3	cefotaxime	
1094170.3	1094170.3	cefotaxime/clavulanic acid	
1094170.3	1094170.3	cefuroxime	
1094170.3	1094170.3	doripenem	
1094170.3	1094170.3	ertapenem	
1094170.3	1094170.3	cefepime	
1094170.3	1094170.3	fosfomycin	
1094170.3	1094170.3	cefoxitin	
1094170.3	1094170.3	gentamicin	
1094170.3	1094170.3	imipenem	
1094170.3	1094170.3	levofloxacin	
1094170.3	1094170.3	meropenem	
1094170.3	1094170.3	minocycline	
1094170.3	1094170.3	nitrofurantoin	
1094170.3	1094170.3	ampicillin/sulbactam	
1094170.3	1094170.3	tetracycline	
1094170.3	1094170.3	tigecycline	
1094170.3	1094170.3	tobramycin	
1094170.3	1094170.3	piperacillin/tazobactam	
1094170.3	1094170.3	cefepime	
1094170.3	1094170.3	amoxicillin/clavulanic acid	
1094170.3	1094170.3	ampicillin	
1094170.3	1094170.3	ceftriaxone	
1094170.3	1094170.3	ertapenem	
1094170.3	1094170.3	tigecycline	
1094170.3	1094170.3	piperacillin/tazobactam	
1094170.3	1094170.3	meropenem	
1094170.3	1094170.3	trimethoprim/sulfamethoxazole	
1094170.3	1094170.3	levofloxacin	
1094170.3	1094170.3	cefotaxime	
1094170.3	1094170.3	amikacin	
1094170.3	1094170.3	gentamicin	
1094170.3	1094170.3	cefoxitin	
1094170.3	1094170.3	imipenem	
1094170.3	1094170.3	ceftazidime	
1094170.3	1094170.3	colistin	
1094170.3	1094170.3	ciprofloxacin	
1094170.3	1094170.3	tetracycline	
1094170.3	1094170.3	cefazolin	
1094170.3	1094170.3	tobramycin	
1094170.3	1094170.3	aztreonam	
1094170.3	1094170.3	rifampin	
1094170.3	1094170.3	polymyxin B	
